chazhi,watersupply,population,waterload,time,area
-38.2,144.5,4379,294.8,2011/1/1,辽宁省
-197.7,131.2,2725,315.9,2011/1/1,吉林省
-458.8,352.4,3782,629.5,2011/1/1,黑龙江省
39.7,124.5,2356,20.7,2011/1/1,上海市
-7.6,556.2,8023,492.4,2011/1/1,江苏省
-1221,198.5,5570,745,2011/1/1,浙江省
-625.4,294.6,5972,602.3,2011/1/1,安徽省
-1124.6,208.8,3784,774.9,2011/1/1,福建省
-1755.4,262.9,4474,1037.9,2011/1/1,江西省
44.4,224.1,9665,347.6,2011/1/1,山东省
-64.4,229.1,9461,328,2011/1/1,河南省
-714.3,296.7,5760,757.5,2011/1/1,湖北省
-1588.9,326.5,6581,1126.9,2011/1/1,湖南省
-1490.3,464.2,10756,1471.3,2011/1/1,广东省
-2134.3,301.8,4655,1350,2011/1/1,广西壮族自治区
-152.4,44.5,890,484.1,2011/1/1,海南省
-377.2,86.8,2944,514.6,2011/1/1,重庆市
-1955,233.5,8064,2239.5,2011/1/1,四川省
-1056.2,95.9,3530,626,2011/1/1,贵州省
-1721.8,146.8,4620,1480.2,2011/1/1,云南省
-3822.2,31,309,4402.7,2011/1/1,西藏自治区
-242.2,87.8,3765,604.4,2011/1/1,陕西省
-45.6,122.9,2552,242.2,2011/1/1,甘肃省
-562.5,31.2,568,733.1,2011/1/1,青海省
61.2,73.6,648,8.8,2011/1/1,宁夏回族自治区
-353.1,523.5,2225,885.7,2011/1/1,新疆维吾尔自治区
3.7,35.2,1962,23.1,2010/1/1,北京市
8.3,22.5,1299,9.2,2010/1/1,天津市
-25.7,193.7,7194,138.9,2010/1/1,河北省
-58.6,63.8,3574,91.5,2010/1/1,山西省
-236.2,181.9,2472,388.5,2010/1/1,内蒙古自治区
-196.2,143.7,4375,606.7,2010/1/1,辽宁省
-356.3,120,2747,686.7,2010/1/1,吉林省
-491.1,325,3833,853.5,2010/1/1,黑龙江省
43.8,126.3,2303,36.8,2010/1/1,上海市
-164.3,552.2,7869,383.5,2010/1/1,江苏省
-1142.2,203,5447,1398.6,2010/1/1,浙江省
-954.5,293.1,5957,922.8,2010/1/1,安徽省
-1919.9,202.5,3693,1652.7,2010/1/1,福建省
-1975.7,239.7,4462,2275.5,2010/1/1,江西省
-6.3,222.5,9588,309.1,2010/1/1,山东省
-109.7,224.6,9405,534.9,2010/1/1,河南省
-1216,288,5728,1268.7,2010/1/1,湖北省
-1866.2,325.2,6570,1906.6,2010/1/1,湖南省
-2023.6,469,10441,1998.8,2010/1/1,广东省
-1888,301.6,4610,1823.6,2010/1/1,广西壮族自治区
-444.9,44.4,869,479.8,2010/1/1,海南省
-527.4,86.4,2885,464.3,2010/1/1,重庆市
-2073.6,230.3,8045,2575.3,2010/1/1,四川省
-965.8,101.4,3479,956.5,2010/1/1,贵州省
-1938.7,147.5,4602,1941.4,2010/1/1,云南省
-4611.1,35.2,300,4593,2010/1/1,西藏自治区
-180.7,83.4,3735,507.5,2010/1/1,陕西省
-50,121.8,2560,215.2,2010/1/1,甘肃省
-586.3,30.8,563,741.1,2010/1/1,青海省
55.3,72.4,633,9.3,2010/1/1,宁夏回族自治区
-528,535.1,2185,1113.1,2010/1/1,新疆维吾尔自治区
9.7,35.5,1860,21.8,2009/1/1,北京市
14.5,23.4,1228,15.2,2009/1/1,天津市
43.3,193.7,7034,141.2,2009/1/1,河北省
-55.3,56.3,3427,85.8,2009/1/1,山西省
-121.9,181.3,2458,378.1,2009/1/1,内蒙古自治区
-55.2,142.8,4341,171,2009/1/1,辽宁省
-267.7,111.1,2740,298,2009/1/1,吉林省
-389.4,316.3,3826,989.6,2009/1/1,黑龙江省
70.8,125.2,2210,41.6,2009/1/1,上海市
198.4,549.2,7810,400.3,2009/1/1,江苏省
-715.8,197.8,5276,931.3,2009/1/1,浙江省
-494.6,291.9,6131,733.1,2009/1/1,安徽省
-863.6,201.4,3666,800.8,2009/1/1,福建省
-1407.1,241.3,4432,1166.9,2009/1/1,江西省
-16.1,220,9470,285,2009/1/1,山东省
-189.3,233.7,9487,328.8,2009/1/1,河南省
-958.5,281.4,5720,825.3,2009/1/1,湖北省
-1585.5,322.3,6406,1400.5,2009/1/1,湖南省
-1353.1,463.4,10130,1613.7,2009/1/1,广东省
-2103.1,303.4,4856,1484.3,2009/1/1,广西壮族自治区
-338.3,44.5,864,480.7,2009/1/1,海南省
-578.7,85.3,2859,455.9,2009/1/1,重庆市
-2198.7,223.5,8185,2332.2,2009/1/1,四川省
-948,100.4,3537,910,2009/1/1,贵州省
-2046,152.6,4571,1576.6,2009/1/1,云南省
-4718.5,30.9,296,4029.2,2009/1/1,西藏自治区
-356.1,84.3,3727,416.5,2009/1/1,陕西省
-122.8,120.6,2555,209,2009/1/1,甘肃省
-759.9,28.8,557,895.1,2009/1/1,青海省
55.3,72.2,625,8.4,2009/1/1,宁夏回族自治区
-466.3,530.9,2159,754.3,2009/1/1,新疆维吾尔自治区
3.8,35.1,1771,34.2,2008/1/1,北京市
10.8,22.3,1176,18.3,2008/1/1,天津市
18.3,195,6989,161,2008/1/1,河北省
-47.6,56.9,3411,87.4,2008/1/1,山西省
-269.4,175.8,2444,412.1,2008/1/1,内蒙古自治区
-105.1,142.8,4315,266,2008/1/1,辽宁省
-361.7,104.1,2734,332,2008/1/1,吉林省
-667.5,297,3825,462,2008/1/1,黑龙江省
64.7,119.8,2141,37,2008/1/1,上海市
213.6,558.3,7762,378,2008/1/1,江苏省
-692.4,216.6,5212,855.2,2008/1/1,浙江省
-550,266.4,6135,699.3,2008/1/1,安徽省
-591.6,198,3639,1036.9,2008/1/1,福建省
-898.3,234.2,4400,1356.2,2008/1/1,江西省
